number,price
1107BGD,38.00
1107BLK,45.00
110QF,23.00
1131-24S,67.00
1131-29S,71.00
1133-24S,71.00
1133-29S,77.00
1140E-24S,61.00
1140E-29S,67.00
1144E-24S,61.00
1144E-29S,67.00
1145BLK,21.00
1145RED,21.00
1145WHT,21.00
1146RED,21.00
1147BLK,27.00
1147RED,27.00
1147WHT,27.00
1148BLK,30.00
1148RED,30.00
1148WHT,30.00
1149BLK,37.00
1149RED,37.00
1149WHT,37.00
1155BLK,37.00
1155RED,37.00
1155WHT,37.00
1156BLK,37.00
1156RED,37.00
1156WHT,37.00
1157BRW,41.00
1157RED,41.00
1178BLK,51.00
1178RED,51.00
1178WHT,51.00
1188BK-24,30.00
1188DB-24,30.00
1188RD-24,30.00
1191F1S,67.00
1191F2S,67.00
1191F3S,71.00
1191F4S,71.00
1191F5S,71.00
1191F6S,71.00
1192BE,89.00
1192BL,89.00
1192GY,89.00
1192RN,89.00
1193F1S,99.00
1193F2S,99.00
1193F3S,99.00
1193F4S,99.00
1193F5S,99.00
1193F6S,99.00
1193F7S,133.00
1194CH,99.00
1194IN,99.00
1194TL,99.00
1194TP,99.00
1195F1S,149.00
1197F1S,139.00
1197F2S,139.00
1200BLK,149.00
1200BRW,149.00
1212F1S,133.00
1212F2S,133.00
1212F4S,133.00
1215BRS,48.00
1215CRS,48.00
1215GRS,48.00
1215RDS,48.00
1216F1S,139.00
1217F1S,209.00
1217F2S,199.00
1218F1S,119.00
1219GY-1,109.00
1220F1S,119.00
1220F2S,119.00
1220F3S,119.00
1221-1,149.00
1222F1S,57.00
1224F1S,89.00
1224F2S,89.00
1224F4S,89.00
1225-1,149.00
1233GY,133.00
1233MD,133.00
1233RN,133.00
1233TL,133.00
1234-1,289.00
1234-4,145.00
1235BR,95.00
1235CH,95.00
1245F2S,169.00
1249F1S,119.00
1255F1S,80.00
1257F1S,289.00
1260F1S,169.00
1260F2S,169.00
1266F1S,179.00
1267GY,139.00
1270F1S,179.00
1270F2S,179.00
1270F3S,179.00
1277F1S,119.00
1277F2S,119.00
1279F2S,109.00
1279F3S,109.00
1280BE,119.00
1280BL,119.00
1280GY,119.00
1288-301,154.00
1288-305,123.00
1288-307,154.00
1303-24S,65.00
1313-1,114.88
1313-11,215.00
1313-2,50.06
1313-3,104.06
1313-4,109.00
1313-5,225.00
1313-6,46.00
1313K-1CK,170.88
1313K-1EK,170.88
1313K-2CK,75.06
1313K-2EK,75.06
1313K-3CK,129.06
1313K-3EK,129.06
1313KW-3EK,119.06
1342PUK-1CK,124.88
1346-3,25.06
1346F-2,44.06
1348DC-2,32.06
1348FDC-2,32.06
1348KDC-2CK,27.06
1348KDC-3CK,36.06
1349-1,89.88
1349-2,69.06
1349-3,40.06
1349-4,103.00
1349-5,239.00
1349-6,49.00
1349-9,185.00
1349F-1,89.88
1349F-2,69.06
1349F-3,40.06
1349K-1CK,124.88
1349K-1EK,124.88
1349K-2CK,105.06
1349K-2EK,105.06
1349K-3CK,55.06
1349K-3EK,55.06
1349T-1,79.88
1349T-2,59.06
1349T-3,40.06
1356BK-1,79.88
1356BK-15,175.00
1356BK-2,50.06
1356BK-3,39.06
1356BK-4,72.00
1356BK-5,195.00
1356BK-6,57.00
1356BK-9,170.00
1356C-1,79.88
1356C-2,50.06
1356C-3,39.06
1356C-4,72.00
1356C-5,195.00
1356C-6,57.00
1356C-9,170.00
1356FBK-1,79.88
1356FBK-2,50.06
1356FBK-3,39.06
1356FC-1,79.88
1356FC-2,50.06
1356FC-3,39.06
1356FPRBK-1,84.88
1356FPRBK-2,85.04
1356FPRBK-3,39.04
1356FPRW-1,84.88
1356FPRW-2,85.04
1356FPRW-3,39.04
1356FW-1,79.88
1356FW-2,50.06
1356FW-3,39.06
1356KBK-1CK,115.88
1356KBK-1EK,115.88
1356KBK-2CK,80.06
1356KBK-2EK,80.06
1356KBK-3CK,49.06
1356KBK-3EK,49.06
1356KC-1CK,115.88
1356KC-1EK,115.88
1356KC-2CK,80.06
1356KC-2EK,80.06
1356KC-3CK,49.06
1356KC-3EK,49.06
1356KW-1CK,115.88
1356KW-1EK,115.88
1356KW-2CK,80.06
1356KW-2EK,80.06
1356KW-3CK,49.06
1356KW-3EK,49.06
1356PRBK-R,90.04
1356PRBK-T,90.04
1356PRW-R,90.04
1356PRW-T,90.04
1356TBK-1,79.88
1356TBK-2,40.06
1356TBK-3,39.06
1356TC-1,79.88
1356TC-2,40.06
1356TC-3,39.06
1356TPRBK-1,79.88
1356TPRBK-2,70.04
1356TPRBK-3,39.04
1356TPRW-1,79.88
1356TPRW-2,70.04
1356TPRW-3,39.04
1356TW-1,79.88
1356TW-2,40.06
1356TW-3,39.06
1356W-1,79.88
1356W-15,175.00
1356W-2,50.06
1356W-3,39.06
1356W-4,72.00
1356W-5,195.00
1356W-6,57.00
1356W-9,170.00
1372-24,52.00
1372-36,209.00
1372-40,309.00
1372-78,209.00
1372S,47.00
1379S,45.00
1385-1,144.88
1385-11,275.00
1385-2,104.06
1385-3,40.06
1385-4,132.00
1385-5,329.00
1385-6,84.00
1385-7,339.88
1385-8,229.12
1385-9,275.00
1385F-1,144.88
1385F-2,104.06
1385F-3,40.06
1385K-1,194.88
1385K-2,134.06
1385K-3CK,50.06
1385K-3EK,50.06
1386-1,145.88
1386-10,153.00
1386-11,285.00
1386-11C,60.00
1386-12,225.00
1386-2,104.06
1386-3,49.06
1386-4,133.00
1386-5,277.00
1386-6,75.00
1386-7,288.00
1386-9,225.00
1386D,139.88
1386D-1,85.12
1386DNC,139.88
1386DNC-1,85.12
1386F-1,109.88
1386F-2,70.06
1386F-3,45.06
1386FNC-1,109.88
1386FNC-2,70.06
1386FNC-3,45.06
1386FPP-1,129.88
1386FPP-2,125.04
1386FPP-3,45.04
1386FPP-3CP,29.04
1386FPPNC-1,129.88
1386FPPNC-2,125.04
1386FPPNC-3,45.04
1386FPPNC-3CP,29.04
1386NC-1,145.88
1386NC-10,153.00
1386NC-11,285.00
1386NC-11C,60.00
1386NC-12,225.00
1386NC-2,104.06
1386NC-3,49.06
1386NC-4,133.00
1386NC-5,277.00
1386NC-6,75.00
1386NC-7,288.00
1386NC-9,225.00
1386PPNC-R,123.00
1386PP-R,123.00
1386T-1,79.88
1386T-2,55.06
1386T-3,40.06
1386TNC-1,79.88
1386TNC-2,55.06
1386TNC-3,40.06
1386TPP-1,110.88
1386TPP-2,109.04
1386TPP-3,40.04
1386TPP-3CP,29.04
1386TPPNC-1,110.88
1386TPPNC-2,109.04
1386TPPNC-3,40.04
1386TPPNC-3CP,29.04
1390-04,169.00
1390-1,344.88
1390-102,409.00
1390-2,195.06
1390-3,79.06
1390-4,235.00
1390-40,519.00
1390-5,559.00
1390-50,619.88
1390-55,459.12
1390-6,178.00
1390-7,629.88
1390-76,284.88
1390-76B,224.12
1390-8,299.12
1390-9,429.00
1390A,119.00
1390K-1,394.88
1390K-2,235.06
1390K-3CK,89.06
1390K-3EK,89.06
1390LP-1,289.88
1390LP-2,130.06
1390LP-3,129.06
1390LPK-1,349.88
1390LPK-2,160.06
1390LPK-3CK,139.06
1390LPK-3EK,139.06
1390S,115.00
1393BK-24,47.00
1393BK-36,209.00
1393BK-48,99.88
1393BK-48B,73.12
1393BK-50,269.00
1393BK-78,193.00
1393BKS,45.00
1393W-24,47.00
1393W-36,209.00
1393W-48,99.88
1393W-48B,73.12
1393W-50,269.00
1393W-78,193.00
1393WS,45.00
1394-04,129.00
1394-05,165.00
1394-1,339.88
1394-108,349.00
1394-11,359.00
1394-2,195.06
1394-3,114.06
1394-30,165.00
1394-4,259.00
1394-40,459.00
1394-5,519.00
1394-50,619.88
1394-55,369.12
1394-6,113.00
1394-9,369.00
1394A,130.00
1394K-1CK,389.88
1394K-1EK,389.88
1394K-2CK,225.06
1394K-2EK,225.06
1394K-3CK,134.06
1394K-3EK,134.06
1394KN-1CK,389.88
1394KN-1EK,389.88
1394KN-2CK,225.06
1394KN-2EK,225.06
1394KN-3CK,134.06
1394KN-3EK,134.06
1394N-1,339.88
1394N-11,379.00
1394N-2,195.06
1394N-3,114.06
1394N-4,269.00
1394N-5,519.00
1394N-6,113.00
1394N-9,399.00
1394S,119.00
14020-12B,339.12
14020-12T,249.88
1402-1,154.88
1402-11,299.00
1402-2,104.06
1402-3,50.06
1402-4,154.00
1402-5,379.00
1402-6RT,73.00
1402-6SW,93.00
1402-9,289.00
1402K-1CK,209.88
1402K-1EK,209.88
1402K-2CK,139.06
1402K-2EK,139.06
1402K-3CK,60.06
1402K-3EK,60.06
1402KW-1CK,209.88
1402KW-1EK,209.88
1402KW-2CK,139.06
1402KW-2EK,139.06
1402KW-3CK,60.06
1402KW-3EK,60.06
1402LP-2,94.06
1402LPK-2CK,129.06
1402LPK-2EK,129.06
1402SL-1,174.88
1402SL-2,159.04
1402SL-3,94.04
1402SL-3RL,90.06
1402SL-DW,91.04
1402SLK-1CK,219.88
1402SLK-1EK,219.88
1402SLK-2CK,199.04
1402SLK-2EK,199.04
1402SLK-3CK,109.04
1402SLK-3CKRL,110.06
1402SLK-3EK,109.04
1402SLK-3EKRL,110.06
1402W-1,159.88
1402W-11,299.00
1402W-2,104.06
1402W-3,45.06
1402W-4,154.00
1402W-5,379.00
1402W-6SW,93.00
1402W-9,289.00
1422-1,94.88
1422-2,70.06
1422-3,40.06
1422-4,93.00
1422-5,245.00
1422-6,56.00
1422-9,209.00
1422K-1CK,134.88
1422K-1EK,134.88
1422K-2CK,104.06
1422K-2EK,104.06
1422K-3CK,50.06
1422K-3EK,50.06
1704-04,159.00
1704-05,199.00
1704-1,249.88
1704-108,449.00
1704-11,349.00
1704-2,109.06
1704-3,140.06
1704-30,199.00
1704-4,199.00
1704-5,529.00
1704-50,559.88
1704-55,539.12
1704-6,122.00
1704-60,449.00
1704-9,399.00
17049-1,499.00
17049-2,579.00
17049-3,599.00
1704A,140.00
1704K-1,309.88
1704K-2,149.06
1704K-3CK,140.06
1704S,125.00
1706-1,109.88
1706-2,40.06
1706-3,49.06
1706-4,99.00
1706-5,249.00
1706-6,52.00
1706-9,229.00
1706F-1,109.88
1706F-2,40.06
1706F-3,49.06
1706K-1,149.88
1706K-2,60.06
1706K-3CK,49.06
1707-1,110.88
1707-2,57.06
1707-3,40.06
1707-4,119.00
1707-5,249.00
1707-6,49.00
1707-9,229.00
1707K-1,160.88
1707K-2,78.06
1707K-3CK,50.06
1707K-3EK,50.06
1708-1,89.88
1708-2,40.06
1708-3,39.06
1708-4,99.00
1708-5,229.00
1708-6,53.00
1708-9,199.00
1708F-1,89.88
1708F-2,40.06
1708F-3,39.06
1708K-1,119.88
1708K-2,54.06
1708K-3CK,45.06
1708K-3EK,45.06
1708T-1,79.88
1708T-2,34.06
1708T-3,35.06
1711-1,89.88
1711-2,110.06
1711-3,49.06
1711-4,99.00
1711-5,239.00
1711-6,42.00
1711-9,220.00
1711F-1,89.88
1711F-2,110.06
1711F-3,49.06
1711K-1,119.88
1711K-2,150.06
1711K-3CK,49.06
1714BK-1,109.88
1714BK-2,115.06
1714BK-3,54.06
1714BK-4,119.00
1714BK-5,249.00
1714BK-6,52.00
1714BK-9,200.00
1714KBK-1,159.88
1714KBK-2,165.06
1714KBK-3CK,54.06
1714KW-1,159.88
1714KW-2,165.06
1714KW-3CK,54.06
1714W-1,109.88
1714W-2,115.06
1714W-3,54.06
1714W-4,119.00
1714W-5,249.00
1714W-6,52.00
1714W-9,200.00
1717-1,159.88
1717-11,279.00
1717-2,109.06
1717-3,50.06
1717-4,139.00
1717-5,399.00
1717-6,92.00
1717-9,350.00
1717K-1,209.88
1717K-2,159.06
1717K-3CK,50.06
1718GY-1,139.88
1718GY-2,95.06
1718GY-3,44.06
1718GY-4,119.00
1718GY-5,249.00
1718GY-6,52.00
1718GY-9,200.00
1718KGY-1,199.88
1718KGY-2,135.06
1718KGY-3CK,44.06
1719-1,79.88
1719-2,79.06
1719-3,40.06
1719-4,89.00
1719-5,189.00
1719-6,43.00
1719-9,179.00
1719K-1,109.88
1719K-2,119.06
1719K-3CK,40.06
1721-1,179.88
1721-2,119.06
1721-3,50.06
1721-4,129.00
1721-5,289.00
1721-6,63.00
1721-9,269.00
1721K-1,239.88
1721K-2,159.06
1721K-3CK,50.06
1722-1,109.88
1722-2,89.06
1722-3,50.06
1722-4,119.00
1722-5,259.00
1722-6,72.00
1722-9,249.00
1722K-1,159.88
1722K-2,119.06
1722K-3CK,50.06
1723-1,159.88
1723-2,109.06
1723-3,110.06
1723-4,159.00
1723-5,399.00
1723-6,83.00
1723-9,279.00
1723K-1CK,219.88
1723K-1EK,219.88
1723K-2CK,125.06
1723K-2EK,125.06
1723K-3CK,134.06
1723K-3EK,134.06
1728-1,149.88
1728-2,55.06
1728-3,34.06
1728-4,119.00
1728-5,339.00
1728-6,52.00
1728-9,199.00
1728K-1,189.88
1728K-2,95.06
1728K-3CK,34.06
1729-1,149.88
1729-2,110.06
1729-3,69.06
1729-4,159.00
1729-5,349.00
1729-6,92.00
1729-9,319.00
1729K-1,179.88
1729K-2,160.06
1729K-3CK,69.06
1730-1,69.88
1730-2,40.06
1730-3,39.06
1730-4,79.00
1730-5,199.00
1730-6,52.00
1730-9,189.00
1730K-1,109.88
1730K-2,59.06
1730K-3CK,40.06
1733-1,79.88
1733-2,45.06
1733-3,40.06
1733-4,89.00
1733-5,245.00
1733-6,56.00
1733-9,195.00
1733K-1,109.88
1733K-2,65.06
1733K-3CK,60.06
1733K-3EK,60.06
1737KNC-1CK,169.88
1737KNC-1EK,169.88
1737KNC-2CK,209.06
1737KNC-2EK,209.06
1737KNC-3CK,80.06
1737KNC-3EK,80.06
1737KNGY-1CK,169.88
1737KNGY-1EK,169.88
1737KNGY-2CK,209.06
1737KNGY-2EK,209.06
1737KNGY-3CK,80.06
1737KNGY-3EK,80.06
1737KW-1CK,169.88
1737KW-1EK,169.88
1737KW-2CK,209.06
1737KW-2EK,209.06
1737KW-3CK,80.06
1737KW-3EK,80.06
1737NC-1,129.88
1737NC-11,249.00
1737NC-2,159.06
1737NC-3,70.06
1737NC-4,136.00
1737NC-5,309.00
1737NC-6,76.00
1737NC-9,259.00
1737NGY-1,129.88
1737NGY-11,249.00
1737NGY-2,159.06
1737NGY-3,70.06
1737NGY-4,136.00
1737NGY-5,309.00
1737NGY-6,76.00
1737NGY-9,259.00
1737W-1,129.88
1737W-11,249.00
1737W-2,159.06
1737W-3,70.06
1737W-4,136.00
1737W-5,309.00
1737W-6,76.00
1737W-9,259.00
1740-1,109.88
1740-11,205.00
1740-2,45.06
1740-3,50.06
1740-4,119.00
1740-5,285.00
1740-6,67.00
1740-9,223.00
1740K-1,159.88
1740K-2,59.06
1740K-3CK,70.06
1740K-3EK,70.06
1740PL-1,109.88
1740PL-2,120.06
1740PL-3,45.06
1740PLK-1,149.88
1740PLK-2,159.06
1740PLK-3CK,50.06
1740PLK-3EK,50.06
1746-1,129.88
1746-2,75.06
1746-3,40.06
1746-4,109.00
1746-5,245.00
1746-6,46.00
1746-9,214.00
1746K-1,179.88
1746K-2,104.06
1746K-3CK,55.06
1746K-3EK,55.06
1749-50,324.88
17807,29.88
17808,37.12
17809,49.88
17810,41.12
17811,69.88
17812,60.12
17813,109.88
17814,64.12
178-2WAY,4.00
178-4WAY,4.00
1799-1,149.88
1799-2,109.06
1799-3,40.06
1799-4,149.00
1799-5,339.00
1799-6,83.00
1799-9,289.00
1799K-1,209.88
1799K-2,149.06
1799K-3CK,40.06
1800-1,245.88
1800-2,159.06
1800-4,145.00
1800K-2,189.06
1801N-1,259.88
1801N-2,84.06
1806-1,89.88
1806-2,30.06
1806-3,45.06
1806-4,93.00
1806-5,233.00
1806-6,54.00
1806-9,205.00
1806F-1,89.88
1806F-2,30.06
1806F-3,45.06
1806K-1,119.88
1806K-2,40.06
1806K-3CK,65.06
1806K-3EK,65.06
1807BK-1,86.88
1807BK-3,92.12
1807KBK-1CK,174.88
1807KBK-1EK,91.88
1808-04,39.00
1808-112,299.88
1808-112B,159.12
1808-40,449.00
1808-50,499.88
1808-55,399.12
1808A,100.00
1808KW-2,49.06
1808RF-50,499.80
1808S,85.00
1809-1,58.88
1809-2,44.06
1809-3,32.06
1809-4,65.00
1809-5,155.00
1809-6,24.00
1809F-1,58.88
1809F-2,44.06
1809F-3,32.06
1809K-1,68.88
1809K-2,50.06
1809K-3CK,46.06
1809K-3EK,46.06
1810-1,85.88
1810-2,74.06
1810-3,45.06
1810-4,81.00
1810-5,235.00
1810-6,44.00
1810-9,205.00
1810F-1,85.88
1810F-2,74.06
1810F-3,45.06
1810K-1CK,115.88
1810K-1EK,115.88
1810K-2CK,114.06
1810K-2EK,114.06
1810K-3CK,55.06
1810K-3EK,55.06
1810T-1,75.88
1810T-2,64.06
1810T-3,35.06
1811FW-1,95.88
1811FW-3,89.12
1811KW-1CK,135.88
1811KW-1EK,135.88
1811KW-3CK,119.12
1811KW-3EK,119.12
1811W-1,95.88
1811W-3,89.12
1811W-4,101.00
1811W-5,289.00
1811W-6,64.00
1811W-9,236.00
1814-1,182.88
1814K-3EK,37.06
1814SL-2,89.04
1814SLK-2,124.04
1814SLK-3EK,44.04
1814SL-P,75.04
1815-1,76.88
1815-2,55.06
1815-3,23.06
1815-5,155.00
1815-6,5.00
1815K-1EK,76.88
1815K-2EK,55.06
1815K-3CK,35.06
1815K-3EK,23.06
1821-1,214.88
1821-2,129.06
1821-3,55.06
1821-4,125.00
1821-5,299.00
1821-6,87.00
1821-9,259.00
1821K-1,279.88
1821K-2,164.06
1821K-3CK,55.06
1824-1,145.88
1824-1P,109.03
1824-2,115.03
1824-2P,79.03
1824-3,50.03
1824-4,179.00
1824-5,399.00
1824-6,122.00
1824-9,299.00
1824K-1,205.88
1824K-2,155.03
1824K-3CK,50.03
1828-04,39.00
18280-T,399.00
1828-1,264.88
1828-2,69.06
1828-3,75.06
1828-30,78.00
1828-4,185.00
1828-40,369.00
1828-5,479.00
1828-50,424.88
1828-55,144.12
1828-6,117.00
1828-6LN,117.00
1828-9,359.00
1828-92,335.00
18289-2,305.00
18289-3,425.00
1828A,125.00
1828K-1,334.88
1828K-2,89.06
1828K-3CK,85.06
1828K-3EK,85.06
1828S,115.00
1831KP-1,165.00
1831P-1,125.00
18320-T,249.00
1832-1,169.88
1832-2,210.06
1832-3,69.06
1832-4,129.00
1832-5,389.00
1832-6,83.00
1832-9,349.00
1832K-1CK,199.88
1832K-1EK,199.88
1832K-2CK,280.06
1832K-2EK,280.06
1832K-3CK,69.06
1834-1,189.88
1834-11,209.00
1834-2,120.06
1834-3,89.06
1834-4,119.00
1834-5,269.00
1834-6,63.00
1834-9,229.00
1834K-1,219.88
1834K-2,180.06
1834K-3CK,99.06
1834K-3EK,99.06
1837-1,185.88
1837-3,29.06
1837-6,32.00
1837K-3EK,24.06
1839-1,125.88
1839-11,250.00
1839-2,59.06
1839-3,44.06
1839-4,126.00
1839-5,329.00
1839-6,65.00
1839-9,250.00
1839K-1,165.88
1839K-2,79.06
1839K-3CK,54.06
1839K-3EK,54.06
1844DC-1,94.88
1844DC-2,154.06
1844DC-3,50.06
1844DC-4,99.00
1844DC-5,249.00
1844DC-6,73.00
1844DC-9,209.00
1844FDC-1,94.88
1844FDC-2,154.06
1844FDC-3,50.06
1844KDC-1,144.88
1844KDC-2,204.06
1844KDC-3CK,50.06
1845-1,139.88
1845-2,115.06
1845-3,44.06
1845-4,125.00
1845-5,340.00
1845-6,86.00
1845-9,275.00
1845K-1,179.88
1845K-2,145.06
1845K-3CK,54.06
1845K-3EK,54.06
1845KLED-1,269.88
1845LED-1,209.88
1845LED-6,116.00
1846-1,63.88
1846-2,52.06
1846-3,29.06
1846-5,155.00
1846K-2,55.06
1846K-3CK,31.06
1847-1,259.88
1847-11,349.00
1847-2,209.06
1847-3,80.06
1847-4,239.00
1847-5,579.00
1847-6N,123.00
1847-9,409.00
1847K-1,309.88
1847K-2,249.06
1847K-3CK,90.06
1847K-3EK,90.06
1849-1,50.88
1849-9,125.00
1849K-1,109.88
1849K-2,199.06
1849K-3CK,50.06
1852-1,79.88
1852-11,159.00
1852-2,59.06
1852-3,30.06
1852-4,95.00
1852-5,195.00
1852-6,40.00
1852-9,195.00
1852K-1,119.88
1852K-2,99.06
1852K-3CK,30.06
1855-1,95.88
1855-3,29.12
1855-4,60.00
1855-5,152.00
1855-6,33.00
1855-9,125.00
1855K-1CK,145.88
1855K-1EK,145.88
1855K-3CK,39.12
1855K-3EK,39.12
1856-1,80.88
1856-3,24.12
1856-4,50.00
1856-5,129.00
1856-6,25.00
1856-9,110.00
1856F-1,80.88
1856F-3,24.12
1856K-1CK,112.88
1856K-1EK,112.88
1856K-3CK,32.12
1856K-3EK,32.12
1856T-1,70.88
1856T-3,24.12
1857-1,149.88
1857-3,29.12
1857-4,89.00
1857-5,209.00
1857-6,53.00
1857-9,169.00
1857K-1,219.88
1857K-3CK,29.12
1862-2,70.06
1862-3,24.06
1862K-2,134.06
1866-1,169.88
1866-11,299.00
1866-2,155.06
1866-3,74.06
1866-4,175.00
1866-5,469.00
1866-6,127.00
1866-9,359.00
1866GY-1,179.88
1866GY-2,149.06
1866GY-3,70.06
1866GY-4,185.00
1866GY-5,488.00
1866GY-6,127.00
1866GY-9,370.00
1866K-1,219.88
1866K-2,195.06
1866K-3CK,84.06
1866K-3EK,84.06
1866KGY-1,229.88
1866KGY-2,199.06
1866KGY-3CK,70.06
1867-1,309.88
1867-102,379.12
1867-102B,179.88
1867-11,449.00
1867-2,129.06
1867-3,60.06
1867-4,269.00
1867-40,449.00
1867-5,579.00
1867-50,429.88
1867-55,219.12
1867-6,152.00
1867-9,499.00
1867A,130.00
1867K-1,379.88
1867K-2,159.06
1867K-3CK,60.06
1867S,120.00
1869-1,109.88
1869-12,189.00
1869-2,87.06
1869-3,32.06
1869-4,79.00
1869-5,179.00
1869-6,62.00
1869-9,175.00
1869K-1,159.88
1869K-2,115.06
1869K-3CK,44.06
1869K-3EK,40.06
1870-1,63.88
1870-2,50.06
1870-3,21.06
1870-4,79.00
1870-5,179.00
1870-6,16.00
1870K-1,80.88
1870K-2,71.06
1870K-3CK,23.06
1870K-3EK,23.06
1877-1,80.88
1877-3,43.06
1877-5,149.00
1877-6,9.00
1877-9,165.00
1877K-2,144.06
1877K-3CK,65.06
1877K-3EK,42.06
1880BRW-1,99.00
1880BUE-1,99.00
1880KBRW-1CK,149.00
1880KBRW-1EK,149.00
1880KBUE-1CK,149.00
1880KBUE-1EK,149.00
1880KGRY-1CK,95.00
1880KRED-1CK,95.00
1880KRED-1EK,95.00
1880RED-1,75.00
1881FPU-1,41.88
1881FPU-3,47.12
1881KPU-1CK,61.88
1881KPU-1EK,61.88
1881KPU-3CK,67.12
1881KPU-3EK,67.12
1881PU-1,41.88
1881PU-3,47.12
1881PU-DRL,10.00
1882FN-1,89.88
1882FN-2,20.06
1882FN-3,59.06
1882KN-1CK,119.88
1882KN-1EK,119.88
1882KN-2CK,30.06
1882KN-2EK,30.06
1882KN-3CK,69.06
1882KN-3EK,69.06
1882N-1,89.88
1882N-2,20.06
1882N-3,59.06
1882N-DRL,10.00
1883FN-1,109.88
1883FN-2,20.06
1883FN-3,69.06
1883KN-1CK,139.88
1883KN-1EK,139.88
