dimensions,description,product_number,number
86 x 38.75 x 40.5H,Double Reclining Love Seat,8240-3,8240-3
63.25 x 38.75 x 40.5H,Double Reclining Love Seat,8240-3,8240-2
40 x 38.75 x 40.5H,Reclining Chair,8240-3,8240-1
27.5 x 31 x 38.5H,Accent Chair,1277,1277F1S
27.5 x 31 x 38.5H,Accent Chair,1277,1277F2S
28.25 x 32 x 46H,Accent Chair,1197,1197F1S
28.25 x 32 x 46H,Accent Chair,1197,1197F2S
78 x 58 x 34.5H,Reversible Sofa Chaise,9789BRG-3LC,9789BRG-3LC
47.5 x 24 x 18.5H,Ottoman,9789BRG-3LC,9789BRG-4
36 x 36 x 34H,Armless Chair,8226GY,8226GY-AC
36.5 x 36.5 x 34H,Corner Seat,8226GY,8226GY-CR
36 x 36 x 17.75H,Ottoman,8226GY,8226GY-4
36 x 36 x 34H,Armless Chair,8226DB,8226DB-AC
36.5 x 36.5 x 34H,Corner Seat,8226DB,8226DB-CR
36 x 36 x 17.75H,Ottoman,8226DB,8226DB-4
76.5 x 32.5 x 33.5H,,8367CH-3,8367CH-3
32.75 x 78 x 33.5H,,8367CH-3,8367CH-5
37.5 x 26 x 18H,Ottoman,8367CH-3,8367CH-4
76.5 x 32.5 x 33.5H,,8367TP-3,8367TP-3
32.75 x 78 x 33.5H,,8367TP-3,8367TP-5
37.5 x 26 x 18H,Ottoman,8367TP-3,8367TP-4
84 x 107 x 35H,Reversible Sectional,8202CH-SC,8202CH-SC
72 x 32 x 35H,Sofa,8202CH-3,8202CH-3
56.75 x 32 x 35H,Love Seat,8202CH-3,8202CH-2
84 x 107 x 35H,Reversible Sectional,8202GRY-SC,8202GRY-SC
72 x 32 x 35H,Sofa,8202GRY-3,8202GRY-3
56.75 x 32 x 35H,Love Seat,8202GRY-3,8202GRY-2
76 x 33 x 34H,Left Side 3-Seater,8378GRY-L,8378GRY-L
80 x 33 x 34H,Right Side Chaise,8378GRY-L,8378GRY-R
45 x 25 x 20H,Ottoman,8378GRY-L,8378GRY-4
76 x 33 x 34H,Left Side 3-Seater,8378BLK-L,8378BLK-L
80 x 33 x 34H,Right Side Chaise,8378BLK-L,8378BLK-R
45 x 25 x 20H,Ottoman,8378BLK-L,8378BLK-4
76 x 33 x 34H,Left Side 3-Seater,8378BRW-L,8378BRW-L
80 x 33 x 34H,Right Side Chaise,8378BRW-L,8378BRW-R
45 x 25 x 20H,Ottoman,8378BRW-L,8378BRW-4
78 x 34 x 35H,Sofa,8219-3,8219-3
63 x 34 x 35H,Love Seat,8219-3,8219-2
43 x 34 x 35H,Chair,8219-3,8219-1
47 x 24 x 17H,Cocktail Table,8219-3,8219-30
78.25 x 32.5 x 30.5H,Sofa,8224TN-3,8224TN-3
58 x 32.5 x 30.5H,Love Seat,8224TN-3,8224TN-2
39.25 x 32.5 x 30.5H,Chair,8224TN-3,8224TN-1
78.25 x 32.5 x 30.5H,Sofa,8224DG-3,8224DG-3
58 x 32.5 x 30.5H,Love Seat,8224DG-3,8224DG-2
39.25 x 32.5 x 30.5H,Chair,8224DG-3,8224DG-1
90 x 36 x 37H,Sofa,9619DB-3,9619DB-3
70 x 36 x 37H,Love Seat,9619DB-3,9619DB-2
47 x 36 x 37H,Chair,9619DB-3,9619DB-1
86.5 x 38.25 x 37.5H,Sofa,8204-3,8204-3
39.5 x 38.25 x 37.5H,Chair,8204-3,8204-1
63 x 38.25 x 37.5H,Love Seat,8204-3,8204-2
85.5 x 34.25 x 36.5H,Sofa,8216SD-3,8216SD-3
63 x 34.25 x 36.5H,Love Seat,8216SD-3,8216SD-2
40.5 x 34.25 x 36.5H,Chair,8216SD-3,8216SD-1
85.5 x 34.25 x 36.5H,Sofa,8216DG-3,8216DG-3
63 x 34.25 x 36.5H,Love Seat,8216DG-3,8216DG-2
40.5 x 34.25 x 36.5H,Chair,8216DG-3,8216DG-1
87 x 35.5 x 37H,Sofa,8225-3,8225-3
75.5 x 35.5 x 37H,Love Seat,8225-3,8225-2
39.25 x 35.5 x 37H,Chair,8225-3,8225-1
26 x 26 x 19H,Ottoman,8225-3,8225-4
79.5 x 33 x 34H,Sofa,8203GY-3,8203GY-3
57.5 x 33 x 34H,Love Seat,8203GY-3,8203GY-2
35.5 x 33 x 34H,Chair,8203GY-3,8203GY-1
79.5 x 33 x 34H,Sofa,8203RD-3,8203RD-3
57.5 x 33 x 34H,Love Seat,8203RD-3,8203RD-2
35.5 x 33 x 34H,Chair,8203RD-3,8203RD-1
31 x 58.5 x 33H,Left Side Chaise,8235SS,8235SS-L
58 x 34.5 x 33H,Right Side 2-Seater,8235SS,8235SS-R
88.25 x 34.5 x 33H,Sofa,8235SS-3,8235SS-3
61.5 x 34.5 x 33H,Love Seat,8235SS-3,8235SS-2
35 x 34.5 x 33H,Chair,8235SS-3,8235SS-1
31 x 58.5 x 33H,Left Side Chaise,8235GY,8235GY-L
58 x 34.5 x 33H,Right Side 2-Seater,8235GY,8235GY-R
88.25 x 34.5 x 33H,Sofa,8235GY-3,8235GY-3
61.5 x 34.5 x 33H,Love Seat,8235GY-3,8235GY-2
35 x 34.5 x 33H,Chair,8235GY-3,8235GY-1
34.75 x 34.75 x 37H,Corner Seat,8327RED-CR,8327RED-CR
61.5 x 36.25 x 37H,Left Side 2-Seater,8327RED-CR,8327RED-L
61.5 x 36.25 x 37H,Right Side 2-Seater,8327RED-CR,8327RED-R
85.5 x 33.75 x 35.5H,Sofa,8327RED-3,8327RED-3
67.25 x 33.75 x 35.5H,Love Seat,8327RED-3,8327RED-2
40.25 x 33.75 x 35.5H,Chair,8327RED-3,8327RED-1
34.75 x 34.75 x 37H,Corner Seat,8327BLK-CR,8327BLK-CR
61.5 x 36.25 x 37H,Left Side 2-Seater,8327BLK-CR,8327BLK-L
61.5 x 36.25 x 37H,Right Side 2-Seater,8327BLK-CR,8327BLK-R
85.5 x 33.75 x 35.5H,Sofa,8327BLK-3,8327BLK-3
67.25 x 33.75 x 33.5H,Love Seat,8327BLK-3,8327BLK-2
40.25 x 33.75 x 33.5H,Chair,8327BLK-3,8327BLK-1
81 x 39 x 39H,Sofa,8244SD-3,8244SD-3
63 x 39 x 39H,Love Seat,8244SD-3,8244SD-2
41 x 39 x 39H,Sofa,8244SD-3,8244SD-1
81 x 39 x 39H,Sofa,8244RN-3,8244RN-3
63 x 39 x 39H,Love Seat,8244RN-3,8244RN-2
41 x 39 x 39H,Chair,8244RN-3,8244RN-1
81 x 39 x 39H,Sofa,8244BU-3,8244BU-3
63 x 39 x 39H,Love Seat,8244BU-3,8244BU-2
41 x 39 x 39H,Chair,8244BU-3,8244BU-1
89.25 x 31.5 x 31.5H,Sofa,8379TL-3,8379TL-3
64.5 x 31.5 x 31.5H,Love Seat,8379TL-3,8379TL-2
40.25 x 31.5 x 31.5H,Chair,8379TL-3,8379TL-1
89.25 x 31.5 x 31.5H,Sofa,8379BE-3,8379BE-3
64.5 x 31.5 x 31.5H,Love Seat,8379BE-3,8379BE-2
40.25 x 31.5 x 31.5H,Chair,8379BE-3,8379BE-1
89.25 x 31.5 x 31.5H,Sofa,8379GY-3,8379GY-3
64.5 x 31.5 x 31.5H,Love Seat,8379GY-3,8379GY-2
40.25 x 31.5 x 31.5H,Chair,8379GY-3,8379GY-1
88.5 x 36.25 x 35.75H,Sofa,8207-3,8207-3
61.75 x 36.25 x 35.75H,Love Seat,8207-3,8207-2
35 x 36.25 x 35.75H,Chair,8207-3,8207-1
,,8245BR-3,8245BR-3SL
83 x 36 x 38H,Sofa,8245BR-3,8245BR-3
57 x 36 x 38H,Love Seat,8245BR-3,8245BR-2
36 x 36 x 38H,Chair,8245BR-3,8245BR-1
,,8245GY-3,8245GY-3SL
83 x 36 x 38H,Sofa,8245GY-3,8245GY-3
57 x 36 x 38H,Love Seat,8245GY-3,8245GY-2
36 x 36 x 38H,Chair,8245GY-3,8245GY-1
95 x 40.25 x 38.5H,Sofa,8477DB-3,8477DB-3
69 x 40.25 x 38.5H,Love Seat,8477DB-3,8477DB-2
55.25 x 40.25 x 38.5H,Chair,8477DB-3,8477DB-1
89 x 37.25 x 34.25H,Sofa,8337FA-3,8337FA-3
69.75 x 37.25 x 34.25H,Love Seat,8337FA-3,8337FA-2
35.5 x 37.25 x 34.25H,Armless Chair,8337FA-3,8337FA-1
46 x 23.5 x 19H,Ottoman,8337FA-3,8337FA-4
64.25 x 43 x 32H,Corner Seat,8427-CR,8427-CR
87.75 x 39.75 x 32H,Left Side 3-Seater,8427-CR,8427-L
63.75 x 39.75 x 32H,Right Side 2-Seater,8427-CR,8427-R
84.5 x 38 x 36.5H,Sofa,8380-3,8380-3
61 x 38 x 36.5H,Love Seat,8380-3,8380-2
35 x 38 x 36.5H,Chair,8380-3,8380-1
83.5 x 33.75 x 38.75H,Sofa,8234RD-3,8234RD-3
61.5 x 33.75 x 38.75H,Love Seat,8234RD-3,8234RD-2
33.75 x 61.75 x 38.75H,Chaise,8234RD-3,8234RD-5
83.5 x 33.75 x 38.75H,Sofa,8234TT-3,8234TT-3
61.5 x 33.75 x 38.75H,Love Seat,8234TT-3,8234TT-2
33.75 x 61.75 x 38.75H,Chaise,8234TT-3,8234TT-5
91.75 x 35.25 x 38.5H,Sofa,8233TT-3,8233TT-3
69.25 x 35.25 x 38.5H,Love Seat,8233TT-3,8233TT-2
34.25 x 58.25 x 33.5H,Chaise,8233TT-3,8233TT-5
91.75 x 35.25 x 38.5H,Sofa,8233FA-3,8233FA-3
69.25 x 35.25 x 38.5H,Love Seat,8233FA-3,8233FA-2
34.25 x 58.25 x 38.5H,Chaise,8233FA-3,8233FA-5
98 x 36.5 x 43H,Sofa,17049-3,17049-3
69 x 36.5 x 42.5H,Love Seat,17049-3,17049-2
46 x 36.5 x 40.25H,Chair,17049-3,17049-1
86 x 37 x 38H,Sofa,9616CN-3,9616CN-3
63 x 37 x 38H,Love Seat,9616CN-3,9616CN-2
42 x 37 x 38H,Chair,9616CN-3,9616CN-1
85 x 36 x 39H,Sofa,8239-3,8239-3
64 x 36 x 39H,Love Seat,8239-3,8239-2
44 x 36 x 39H,Chair,8239-3,8239-1
88 x 39 x 39.5H,Double Reclining Sofa,8200BRW-3,8200BRW-3
76.75 x 39 x 39.5H,Double Reclining Love Seat with Center Console,8200BRW-3,8200BRW-2
42 x 39 x 39.5H,Glider Reclining Chair,8200BRW-3,8200BRW-1
88 x 39 x 39.5H,Power Double Reclining Sofa,8200BRW-3PW,8200BRW-3PW
, POWER Double Reclining Love Seat with Center Console ,8200BRW-3PW,8200BRW-2PW
42 x 39 x 39.5H,Power Reclining Chair,8200BRW-3PW,8200BRW-1PW
89 x 40.5 x 41.75H,Power Double Reclining Sofa,8399-3PW,8399-3PW
89 x 40.5 x 41.75H,Double Reclining Sofa,8399-3PW,8399-3
68 x 40.5 x 41.75H,Power Double Reclining Love Seat,8399-3PW,8399-2PW
68 x 40.5 x 41.75H,Double Reclining Love Seat,8399-3PW,8399-2
45.25 x 40.5 x 41.75H,Power Reclining Chair,8399-3PW,8399-1PW
45.25 x 40.5 x 41.75H,Glider Reclining Chair,8399-3PW,8399-1
87 x 37 x 39.25H,Power Double Reclining Sofa,8223DB-3PW,8223DB-3PW
66 x 37 x 39.25H,Power Double Reclining Love Seat,8223DB-3PW,8223DB-2PW
43 x 37 x 39.25H,Power Reclining Chair,8223DB-3PW,8223DB-1PW
87 x 37 x 39.25H,Power Double Reclining Sofa,8223BK-3PW,8223BK-3PW
66 x 37 x 39.25H,Power Double Reclining Love Seat,8223BK-3PW,8223BK-2PW
43 x 37 x 39.25H,Power Reclining Chair,8223BK-3PW,8223BK-1PW
91 x 37 x 37.75H,Power Double Reclining Sofa,8355-3PW,8355-3PW
67.75 x 37 x 37.75H,Power Left Side Reclining Love Seat,8355-3PW,8355-2PW
44.5 x 37 x 37.75H,Power Reclining Chair,8355-3PW,8355-1PW
82 x 39.5 x 39.5H,Double Reclining Sofa,8329CH-3,8329CH-3
62 x 39.5 x 39.5H,Double Reclining Love Seat,8329CH-3,8329CH-2
37.5 x 39.5 x 39.5H,Reclining Chair,8329CH-3,8329CH-1
86 x 39.25 x 40.5H,Double Reclining Sofa,8210GRY-3,8210GRY-3
78 x 39.25 x 40.5H,Double Glider Reclining Love Seat with Center Console,8210GRY-3,8210GRY-2
39 x 39.25 x 40.5H,Glider Reclining Chair,8210GRY-3,8210GRY-1
87.5 x 38.5 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8334DBR-3,8334DBR-3
78 x 38.5 x 39H,Double Glider Reclining Love Seat with Center Console,8334DBR-3,8334DBR-2
42 x 38.5 x 39H,Swivel Glider Reclining Chair,8334DBR-3,8334DBR-1
81.5 x 39 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8201BRW-3,8201BRW-3
72.5 x 39 x 39H,Double Glider Reclining Love Seat with Center Console,8201BRW-3,8201BRW-2
35.5 x 39 x 39H,Glider Reclining Chair,8201BRW-3,8201BRW-1
81.5 x 39 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8201BLK-3,8201BLK-3
72.5 x 39 x 39H,Double Glider Reclining Love Seat with Center Console,8201BLK-3,8201BLK-2
35.5 x 39 x 39H,Glider Reclining Chair,8201BLK-3,8201BLK-1
86.5 x 40.25 x 40.25H,,8206NF-3,8206NF-3
76 x 40.25 x 40.25H,,8206NF-3,8206NF-2
45 x 40.25 x 40.25H,Glider Reclining Chair,8206NF-3,8206NF-1
86.5 x 40.25 x 40.25H,Double Reclining Sofa with Center Drop-Down Cup Holders,8206BRW-3,8206BRW-3
76 x 40.25 x 40.25H,Double Glider Reclining Love Seat with Center Console,8206BRW-3,8206BRW-2
45 x 40.25 x 40.25H,Glider Reclining Chair,8206BRW-3,8206BRW-1
88 x 40.25 x 39H,Double Reclining Sofa,8370BRW-3,8370BRW-3
76 x 40.25 x 39H,Double Glider Reclining Love Seat with Center Console,8370BRW-3,8370BRW-2
40.5 x 40.25 x 39H,Glider Reclining Chair,8370BRW-3,8370BRW-1
31.5 x 38.75 x 40H,Armless Chair,8212-AC,8212-AC
31.5 x 38.75 x 40H,Armless Reclining Chair,8212-AC,8212-AR
13.5 x 37.5 x 40H,Console,8212-AC,8212-CN
66 x 41.5 x 40H,Corner Seat,8212-AC,8212-CR
41 x 38.75 x 40H,Left Side Reclining Chair,8212-AC,8212-LR
41 x 38.75 x 40H,Right Side Reclining Chair,8212-AC,8212-RR
32 x 39 x 40H,Armless Chair,8238-AC,8238-AC
32 x 39 x 40H,Armless Reclining Chair,8238-AC,8238-AR
13.5 x 38 x 40H,Console,8238-AC,8238-CN
68 x 41 x 40H,Corner Seat,8238-AC,8238-CR
42 x 62.5 x 40H,"Left Side Chaise, Push Back Recliner",8238-AC,8238-LC
42 x 39 x 40H,Left Side Reclining Chair,8238-AC,8238-LR
42 x 62.5 x 40H,"Right Side Chaise, Push Back Recliner",8238-AC,8238-RC
42 x 39 x 40H,Right Side Reclining Chair,8238-AC,8238-RR
31 x 39 x 40H,Armless Chair,8490FBR-AC,8490FBR-AC
31 x 39 x 40H,Armless Reclining Chair,8490FBR-AC,8490FBR-AR
13 x 39 x 40H,Console,8490FBR-AC,8490-CN
65 x 40 x 40H,Corner Seat,8490FBR-AC,8490FBR-CR
39 x 65 x 40H,"Left Side Chaise, Push Back Recliner",8490FBR-AC,8490FBR-LC
39 x 39 x 40H,Left Side Reclining Chair,8490FBR-AC,8490FBR-LR
39 x 65 x 40H,"Right Side Chaise, Push Back Recliner",8490FBR-AC,8490FBR-RC
39 x 39 x 40H,Right Side Reclining Chair,8490FBR-AC,8490FBR-RR
25.25 x 38.25 x 41H,Armless Chair,8229-AC,8229-AC
25.25 x 38.25 x 41H,Power Armless Reclining Chair,8229-AC,8229-ARPW
13 x 37.5 x 41H,Console,8229-AC,8229-CN
69 x 41.5 x 41H,Corner Seat,8229-AC,8229-CR
34 x 38.25 x 41H,Power Left Side Reclining Chair,8229-AC,8229-LRPW
34 x 38.25 x 41H,Power Right Side Reclining Chair,8229-AC,8229-RRPW
69 x 38 x 38.5H,Power Left Side Reclining Love Seat,8369GY-2LPW,8369GY-2LPW
69 x 38 x 38.5H,Power Right Side Reclining Love Seat,8369GY-2LPW,8369GY-2RPW
27.5 x 38 x 38.5H,Power Armless Reclining Chair,8369GY-2LPW,8369GY-ARPW
63 x 39.75 x 38.5H,Corner Seat,8369GY-2LPW,8369GY-CR
65.5 x 38.5 x 39.5H,Left Side Reclining Love Seat,8230BRW-2L,8230BRW-2L
65.5 x 38.5 x 39.5H,Right Side Double Reclining Love Seat with Center Console,8230BRW-2L,8230BRW-2RCN
65.5 x 41 x 39.5H,Corner Seat,8230BRW-2L,8230BRW-CR
87.5 x 38.5 x 39.5H,Double Reclining Sofa,8230BRW-3,8230BRW-3
78.5 x 38.5 x 39.5H,Double Glider Reclining Love Seat with Center Console,8230BRW-3,8230BRW-2
42.5 x 38.5 x 39.5H,Glider Reclining Chair,8230BRW-3,8230BRW-1
65.5 x 38.5 x 39.5H,Left Side Reclining Love Seat,8230BLK-2L,8230BLK-2L
78.5 x 38.5 x 39.5H,Right Side Double Reclining Love Seat with Center Console,8230BLK-2L,8230BLK-2RCN
65.5 x 41 x 39.5H,Corner Seat,8230BLK-2L,8230BLK-CR
87.5 x 38.5 x 39.5H,Double Reclining Sofa,8230BLK-3,8230BLK-3
78.5 x 38.5 x 39.5H,Double Glider Reclining Love Seat with Center Console,8230BLK-3,8230BLK-2
42.5 x 38.5 x 39.5H,Glider Reclining Chair,8230BLK-3,8230BLK-1
,,8480RED-2LCN,8480RED-2LCN
59.5 x 40.5 x 39H,Right Side Reclining Love Seat,8480RED-2LCN,8480RED-2R
22 x 40.5 x 39H,Armless Reclining Chair,8480RED-2LCN,8480RED-AR
68.5 x 43 x 39H,Corner Seat,8480RED-2LCN,8480RED-CR
,,8480GRY-2LCN,8480GRY-2LCN
59.5 x 40.5 x 39H,Right Side Reclining Love Seat,8480GRY-2LCN,8480GRY-2R
22 x 40.5 x 39H,Armless Reclining Chair,8480GRY-2LCN,8480GRY-AR
68.5 x 43 x 39H,Corner Seat,8480GRY-2LCN,8480GRY-CR
,,8480BRW-2LCN,8480BRW-2LCN
59.5 x 40.5 x 39H,Right Side Reclining Love Seat,8480BRW-2LCN,8480BRW-2R
22 x 40.5 x 39H,Armless Reclining Chair,8480BRW-2LCN,8480BRW-AR
68.5 x 43 x 39H,Corner Seat,8480BRW-2LCN,8480BRW-CR
32.25 x 62 x 39.5H,Left Side Chaise,8308,8308-5L
32.25 x 62 x 39.5H,Right Side Chaise,8308,8308-5R
23.25 x 36.5 x 39.5H,Armless Chair,8308,8308-AC
23.25 x 36.5 x 39.5H,Power Armless Reclining Chair,8308,8308-ARPW
13 x 36.5 x 39.5H,Console,8308,8308-CN
64.5 x 40 x 39.5H,Corner Seat,8308,8308-CR
32.25 x 36.5 x 39.5H,Power Left Side Reclining Chair,8308,8308-LCPW
32.25 x 36.5 x 39.5H,Power Right Side Reclining Chair,8308,8308-RCPW
109.5 x 36.75 x 39.5H,Power Double Reclining Sofa,8318-3PW,8318-3PW
,,8318-3PW,8318-2CNPW
41.25 x 36.75 x 39.5H,Power Reclining Chair,8318-3PW,8318-1PW
78 x 58 x 34.5H,Reversible Sofa Chaise,9789CF-3LC,9789CF-3LC
47.5 x 24 x 18.5H,Ottoman,9789CF-3LC,9789CF-4
26.5 x 35.25 x 37H,Armless Chair,8335,8335-AC
34.25 x 34.25 x 37H,Corner Seat,8335,8335-CR
61 x 35.25 x 37H,Left Side 2-Seater,8335,8335-LL
61 x 35.25 x 37H,Right Side 2-Seater,8335,8335-RL
38 x 38 x 19.25H,Ottoman,8335,8335-4
29.5 x 33 x 28.25H,Armless Chair,8303-AC,8303-AC
65.75 x 33 x 28.25H,Left Side 2-Seater/Right Side Chaise,8303-AC,8303-LL
57 x 31 x 18.5H,Ottoman,8303-AC,8303-OT
85.5 x 38.25 x 36.5H,Sofa,8478-3,8478-3
65.5 x 38.25 x 36.5H,Love Seat,8478-3,8478-2
41.5 x 38.25 x 36.5H,Chair,8478-3,8478-1
89.75 x 31 x 37.75H,Sofa,8323-3,8323-3
65 x 31 x 37.75H,Love Seat,8323-3,8323-2
40.25 x 31 x 37.75H,Chair,8323-3,8323-1
72.75 x 33.75 x 33.75H,Sofa,8312DG-3,8312DG-3
55.5 x 33.75 x 33.75H,Love Seat,8312DG-3,8312DG-2
36.75 x 33.75 x 33.75H,Chair,8312DG-3,8312DG-1
72.75 x 33.75 x 33.75H,Sofa,8312-3,8312-3
55.5 x 33.75 x 33.75H,Love Seat,8312-3,8312-2
36.75 x 33.75 x 33.75H,Chair,8312-3,8312-1
85.5 x 33.75 x 35.5H,Sofa,8327TL-3,8327TL-3
85.5 x 33.75 x 35.5H,Sofa,8327TL-3,8327BLK-3
40.25 x 33.75 x 35.5H,Chair,8327TL-3,8327TL-1
30 x 33.75 x 37H,Accent Chair,8327TL-3,8327TL-1S
85.5 x 33.75 x 35.5H,Sofa,8327BE-3,8327BE-3
67.25 x 33.75 x 35.5H,Love Seat,8327BE-3,8327BE-2
40.25 x 33.75 x 35.5H,Chair,8327BE-3,8327BE-1
30 x 33.75 x 37H,Accent Chair,8327BE-3,8327GY-1S
85.5 x 33.75 x 35.5H,Sofa,8327GY-3,8327GY-3
67.25 x 33.75 x 35.5H,Love Seat,8327GY-3,8327GY-2
40.25 x 33.75 x 33.5H,Chair,8327GY-3,8327GY-1
30 x 33.75 x 37H,Accent Chair,8327GY-3,8327GY-1S
72 x 31.5 x 36.25H,Sofa,8328-3,8328-3
50.75 x 31.5 x 36.25H,Love Seat,8328-3,8328-2
29.5 x 31.5 x 36.25H,Chair,8328-3,8328-1
95 x 40.25 x 38.5H,Sofa,8477-3,8477-3
69 x 40.25 x 38.5H,Love Seat,8477-3,8477-2
55.25 x 40.25 x 38.5H,Chair,8477-3,8477-1
37 x 28 x 20H,Ottoman,8477-3,8477-4
95 x 40.25 x 38.5H,Sofa,8477NF-3,8477NF-3
69 x 40.25 x 38.5H,Love Seat,8477NF-3,8477NF-2
55.25 x 40.25 x 38.5H,Chair,8477NF-3,8477NF-1
37 x 28 x 20H,Ottoman,8477NF-3,8477-4
87 x 33.75 x 31H,Sofa,8324-3,8324-3
61.5 x 33.75 x 31H,Love Seat,8324-3,8324-2
36.75 x 33.75 x 31H,Chair,8324-3,8324-1
36.25 x 36.25 x 18.25H,Ottoman,8324-3,8324-4
91.25 x 36 x 34.75H,Sofa,8469-3,8469-3
69.25 x 36 x 34.75H,Love Seat,8469-3,8469-2
50.5 x 36 x 35.75H,Chair,8469-3,8469-1
30 x 67.75 x 38.25H,Chaise,8469-3,8469-5
87.5 x 37.5 x 39.75H,Sofa,8313-3,8313-3
63.5 x 37.5 x 39.75H,Love Seat,8313-3,8313-2
33 x 33 x 45.5H,Accent Chair,8313-3,8313-1
97.5 x 41 x 41H,Sofa,19359-3,19359-3
81.75 x 41 x 41H,Love Seat,19359-3,19359-2
55.5 x 41 x 41H,Chair,19359-3,19359-1
82 x 39.5 x 39.5H,Double Reclining Sofa,8329BRW-3,8329BRW-3
